company,modality,position,seniority,ab,agile,ai,algorithm,analytical skill,attention detail,automation,aws,azure,bachelor,big data,business intelligence,communication,computer science,creativity,curiosity,dashboard,data mining,decision making,deep learning,economics,engineering,etl,excel,kpi,leadership,looker,machine learning,master,mathematics,modeling,motivation,natural language,optimization,ph,power bi,prediction,presentation,proactive,problem solving,programming,python,qlik,quantitative,r,reporting,research,segmentation,sql,statistic,storytelling,tableau,team work,visualization
Roche,Unknown,data scientist,unknown,0.0,0.0,0.0,0.02801551540410419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196557201146592,0.0,0.0,0.03723424906452704,0.0,0.0,0.0,0.0,0.0,0.03781717936089942,0.0,0.0,0.0,0.0,0.0,0.021966541388659073,0.0,0.022803761801149253,0.0,0.04218255631992812,0.0,0.0,0.0349570315986937,0.0,0.0,0.0,0.029464467002219014,0.0,0.0,0.015760547993959657,0.0,0.027141401936718504,0.0,0.0,0.0,0.0,0.0,0.019329599850835287,0.0,0.0,0.0,0.0
Hays,Hybrid,data analyst,junior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02406382787480311,0.0,0.0,0.0,0.0,0.0,0.0,0.03508695295373758,0.029020979785088594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03749765975922067,0.0,0.0,0.020057504052316953,0.0,0.0,0.0,0.030370013788198227,0.0,0.0,0.020881927337916856,0.0,0.0,0.0,0.0,0.0
Hosco,Hybrid,data analyst,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022342624181526122,0.0,0.0,0.0,0.0,0.0,0.0,0.02269561646381335,0.0,0.03247168926511401,0.0,0.0,0.0,0.0,0.0,0.0,0.018771907252102652,0.023250901796416514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012973979809331843,0.0,0.022342624181526122,0.0,0.0,0.0,0.0,0.01350724910514338,0.0,0.0,0.018771907252102652,0.0,0.01786362963721226
Festo España,On-site,data analyst,unknown,0.0,0.026758489760018107,0.0,0.0,0.0,0.0,0.08668093639351288,0.0,0.0,0.0,0.0,0.0,0.016246385415737395,0.0,0.0,0.0,0.019214112067671672,0.0,0.026226767987231718,0.0,0.0,0.01562884665759533,0.0,0.0,0.0,0.0,0.0,0.0,0.022788087175873425,0.018848391256540042,0.0,0.0,0.0,0.0,0.0,0.02414347435945671,0.0,0.0,0.0,0.0,0.01896875170803545,0.01302684081679268,0.0,0.0,0.0,0.01972455466994939,0.0,0.0,0.013562282857794114,0.03195366308400398,0.0,0.018848391256540042,0.0,0.017936412967648085
NEW WORK SE,Hybrid,data scientist,junior,0.0,0.023359466867439872,0.0,0.04042944067015523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019583999856462465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013643577382304008,0.0,0.0,0.0,0.0,0.0,0.06340022441073477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03311845556415645,0.03411628150651011,0.0,0.0,0.0,0.0,0.0,0.0,0.023679041672737135,0.0,0.0,0.0,0.0,0.0
FREE NOW,Unknown,data analyst,senior,0.0,0.0,0.0,0.0,0.020188637615447175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113517135842947,0.0,0.03495560165208451,0.0,0.013425330705097611,0.0,0.0,0.0,0.015922547208800972,0.010920225414449904,0.0,0.0,0.0,0.019090149121258275,0.0,0.0,0.0,0.013169793378267935,0.01631211833751765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013253891923100483,0.009102145620476669,0.0,0.0,0.013425330705097611,0.013781988390730616,0.015797576352299364,0.0,0.009476270974203086,0.011163370251800728,0.0,0.013169793378267935,0.0,0.012532573709665928
Siemens Energy,On-site,data scientist,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020284367336167376,0.0,0.0,0.0,0.0,0.0,0.016298597997077436,0.01817323706861047,0.0,0.0,0.0,0.0,0.04471884382691215,0.0,0.011354737777064042,0.0,0.0,0.0,0.0,0.0,0.013191058749089945,0.0,0.01369381534839679,0.0,0.0,0.0,0.04056873467233475,0.0,0.0,0.0,0.018340757702671188,0.0,0.0,0.0,0.009464317155249011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Page,On-site,data analyst,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023659107780247237,0.0,0.0,0.0,0.0,0.0,0.038193229734436264,0.0,0.0,0.04551961043529408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07031878752632628,0.0,0.0,0.03546565561712184,0.0,0.0,0.0,0.0,0.0,0.0,0.02872425791411218,0.0,0.0,0.03950066475314955,0.0,0.0,0.0,0.0,0.0
CloudBlue,Unknown,data scientist,senior,0.0,0.0,0.0,0.0,0.0,0.018287201255873423,0.0,0.0,0.0,0.01726890678140948,0.0,0.0,0.022432076626523162,0.030975105691582544,0.0,0.0,0.0,0.0225088601678845,0.0,0.0,0.0,0.010789707274448727,0.0225088601678845,0.0,0.0,0.0,0.0,0.025069299764936975,0.015732241499266462,0.02602477696631728,0.0,0.0,0.0,0.0,0.0,0.016667961919000444,0.0,0.0,0.0,0.0,0.0,0.008993357104551668,0.0,0.015487552845791272,0.01326487163708136,0.0,0.0,0.0,0.00936301092555395,0.011029946053479553,0.0,0.0,0.021246780155451984,0.01238278484103609
Accenture España,Unknown,data scientist,senior,0.0,0.014187772206122863,0.0,0.01227775654950097,0.0,0.0,0.015319865348581034,0.014803482555663352,0.03263570480311604,0.013262784757670482,0.0,0.0,0.02584226735349239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008286660353818009,0.0,0.0,0.038738272078448356,0.014486292715375557,0.0,0.009626802988067921,0.0,0.009993713546540866,0.037134668704392616,0.0,0.0,0.029606965111326704,0.0,0.0,0.0,0.013385040913996829,0.0,0.0,0.0,0.006907035925107941,0.0,0.011894677666446427,0.01018762447372357,0.0,0.0,0.0,0.0,0.00847116741364889,0.0,0.0,0.0,0.0
Scopely,Unknown,data analyst,junior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022378186229944735,0.013971235436101952,0.0,0.0,0.0,0.016569994489010163,0.011364266820083098,0.0,0.017864820440993884,0.01770846321082087,0.0,0.01965869326489488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018356149504100885,0.0,0.0,0.0,0.00947225973279585,0.0,0.016312275991630352,0.041913706308305855,0.0,0.016439942030922684,0.0,0.01972319576256247,0.0,0.028906294753917212,0.013705307375611497,0.0,0.013042176894127483
Leonid Group Ltd,Hybrid,data scientist,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03638968376928137,0.0,0.014979382100026804,0.0,0.0,0.0,0.0,0.05199607703552591,0.0,0.015595079415851795,0.0,0.0,0.0,0.03538874689883095,0.0
